AADF,PedalCycle,MotorCycle,CarTaxies,BusCoaches
2000,79920,222525,26956216,367302
2001,78138,232931,27309361,377048
2002,73433,237346,27695209,353026
2003,73426,267168,27509617,322425
2004,61833,225081,28108929,293387
2005,54449,214996,28135045,297896
2006,75335,213851,28273059,300005
2007,51618,212727,28132190,287112
2008,63598,205438,27845252,270097
2009,72132,210086,28232917,274654
2010,72116,196972,27854236,290439
2011,77867,196507,28550444,279982
2012,74252,183164,28394607,285898
2013,72482,187843,28160807,276562
2014,70136,193522,29010942,274037
2015,68440,190789,29309801,274839
2016,70844,189350,29984013,250452
2017,72502,186612,30250168,227700
